year,both_japanese,husb_jpn_wife_american,husb_jpn_wife_brazilian,husb_jpn_wife_british,husb_jpn_wife_chinese,husb_jpn_wife_filipino,husb_jpn_wife_korean,husb_jpn_wife_other,husb_jpn_wife_peruvian,husb_jpn_wife_thai,wife_jpn_husb_american,wife_jpn_husb_brazilian,wife_jpn_husb_british,wife_jpn_husb_chinese,wife_jpn_husb_filipino,wife_jpn_husb_korean,wife_jpn_husb_other,wife_jpn_husb_peruvian,wife_jpn_husb_thai
1965,950696,64,,,121,,843,39,,,1592,,,158,,1128,211,,
1970,1023859,75,,,280,,1536,217,,,1571,,,195,,1386,286,,
1971,1085639,97,,,325,,1696,232,,,1252,,,194,,1533,261,,
1972,1093988,102,,,445,,1785,342,,,1010,,,237,,1707,368,,
1973,1065730,122,,,410,,1902,415,,,1024,,,238,,1674,408,,
1974,994096,142,,,477,,2047,511,,,790,,,229,,1743,420,,
1975,935583,152,,,574,,1994,502,,,631,,,243,,1554,395,,
1976,865221,163,,,646,,2049,609,,,604,,,229,,1564,458,,
1977,814958,196,,,635,,1990,680,,,539,,,197,,1390,444,,
1978,786977,172,,,655,,2110,683,,,601,,,198,,1500,361,,
1979,781774,183,,,751,,2224,763,,,598,,,189,,1597,426,,
1980,767441,178,,,912,,2458,838,,,625,,,194,,1651,405,,
1981,768774,219,,,1032,,2585,977,,,630,,,235,,1638,441,,
1982,772296,225,,,1345,,2903,1224,,,665,,,285,,1809,500,,
1983,752101,269,,,1864,,3391,1476,,,734,,,296,,1901,520,,
1984,729483,234,,,1704,,3209,1681,,,751,,,300,,2021,608,,
1985,723669,254,,,1766,,3622,2096,,,876,,,380,,2525,662,,
1986,698433,218,,,1841,,3515,2681,,,896,,,349,,2330,699,,
1987,681589,235,,,1977,,4405,3559,,,947,,,432,,2365,664,,
1988,690844,234,,,2234,,5063,4736,,,888,,,431,,2535,751,,
1989,685473,211,,,3291,,7685,6613,,,946,,,614,,2589,894,,
1990,696512,260,,,3614,,8940,7212,,,1091,,,708,,2721,1080,,
1991,717105,243,,,3871,,6969,8013,,,1292,,,789,,2666,1316,,
1992,728579,248,645,99,4638,5771,5537,762,138,1585,1350,152,168,777,54,2804,1065,56,13
1993,766001,244,625,89,4691,6394,5068,889,166,1926,1381,146,220,766,58,2762,1129,81,22
1994,756926,241,590,90,4587,5999,4851,876,146,1836,1445,147,190,695,46,2686,1296,74,17
1995,764161,198,579,82,5174,7188,4521,990,140,1915,1303,162,213,769,52,2842,1514,66,19
1996,766708,241,551,88,6264,6645,4461,1022,130,1760,1357,199,234,773,56,2800,1708,58,25
1997,747400,184,488,90,6630,6035,4504,1127,156,1688,1374,233,225,834,61,2674,1818,99,31
1998,754959,215,417,65,7036,6111,5143,1335,138,1699,1299,204,240,787,81,2635,2071,122,38
1999,730128,198,333,81,7810,6414,5798,1486,128,2024,1318,222,228,836,101,2499,2237,123,64
2000,761875,202,357,76,9884,7519,6214,1792,145,2137,1483,279,249,878,109,2509,2239,124,67
2001,760272,175,347,93,13936,7160,6188,2091,142,1840,1416,243,267,793,83,2477,2286,135,55
2002,721452,163,284,85,10750,7630,5353,2030,126,1536,1488,231,317,814,104,2379,2407,137,45
2003,704152,156,295,65,10242,7794,5318,2427,139,1445,1529,265,334,890,117,2235,2601,125,62
2004,680907,179,256,64,11915,8397,5730,2589,137,1640,1500,268,339,1104,120,2293,2783,122,75
2005,672784,177,311,59,11644,10242,6066,2859,121,1637,1551,261,343,1015,187,2087,2738,123,60
2006,686272,215,285,79,12131,12150,6041,3299,117,1676,1474,292,386,1084,195,2335,2773,115,54
2007,679550,193,288,67,11926,9217,5606,2897,138,1475,1485,341,372,1016,162,2209,2685,127,68
2008,689137,215,290,59,12218,7290,4558,2636,116,1338,1445,322,363,1005,165,2107,2658,133,51
2009,673347,179,273,56,12733,5755,4113,2320,93,1225,1453,290,367,986,156,1879,2367,90,58
2010,670015,223,247,51,10162,5212,3664,2098,90,1096,1329,270,316,910,138,1982,2281,100,38
2011,635964,202,239,53,8104,4290,3098,1895,95,1046,1375,299,292,850,130,1837,1978,106,45
2012,645213,179,209,52,7166,3517,3004,1902,80,1089,1159,273,286,820,139,1823,1834,92,33
2013,639133,184,212,38,6253,3118,2734,1853,70,981,1158,286,247,718,105,1689,1705,107,31
2014,622652,202,221,50,6019,3000,2412,2050,80,965,1088,329,236,776,118,1701,1740,117,27
2015,614241,199,278,44,5731,3072,2268,2201,83,939,1127,344,235,748,168,1566,1830,115,36
2016,599518,246,216,55,5531,3371,2031,2350,87,971,1059,315,248,790,151,1628,2013,95,32
2017,585488,235,291,58,5121,3630,1836,2554,98,976,1074,325,222,812,216,1690,2155,131,40
2018,564629,266,302,66,5030,3676,1779,2844,109,988,1061,346,239,847,269,1641,2271,89,29
2019,577088,286,318,52,4723,3666,1678,3099,103,986,989,332,233,917,265,1764,2357,114,37
2020,510055,240,247,55,2393,1955,1300,2310,92,637,1025,255,204,629,188,1575,2241,87,19
2021,484642,225,244,53,3072,1780,1284,2428,89,639,1049,212,203,903,228,1561,2398,94,34
2022,487245,236,255,52,2937,2355,1224,3018,93,737,1139,280,208,934,234,1551,2293,105,34
2023,456266,268,267,58,3308,2748,1232,3013,90,795,1139,284,243,939,238,1572,2156,97,28
2024,466672,265,271,62,3287,2460,1177,3060,111,824,1197,265,203,1019,246,1627,2215,99,32
